,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
50,54,0,1,3,0,0,0,1,5,1,160,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
51,39,3,1,0,0,0,2,1,5,1,266,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
52,60,0,1,3,0,0,0,1,5,1,253,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
53,53,0,2,5,0,0,0,1,5,1,179,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
54,55,1,1,0,1,0,0,1,5,1,269,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
55,55,9,1,5,1,2,0,1,5,1,135,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
56,50,4,1,6,1,0,2,1,5,1,161,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
57,45,7,1,3,1,2,0,1,5,1,787,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
58,55,10,1,5,1,2,2,1,5,1,145,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
59,25,9,2,6,0,2,0,1,5,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
60,47,2,1,6,1,0,0,1,5,1,449,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
61,51,1,1,2,0,2,0,1,5,1,812,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
62,42,1,1,1,1,2,0,1,5,1,164,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
63,42,1,1,1,1,0,0,1,5,1,366,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
64,48,0,1,3,0,0,0,1,5,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
65,37,0,1,6,0,0,0,1,5,1,232,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
66,44,1,2,2,0,2,0,1,5,1,91,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
67,33,0,1,7,0,2,0,1,5,1,273,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
68,56,0,1,2,0,2,0,1,5,1,158,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
69,44,1,2,0,1,2,2,1,5,1,177,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
70,41,4,1,1,0,0,0,1,5,1,200,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
71,44,4,0,6,0,2,0,1,5,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
72,47,0,1,6,1,2,0,1,5,1,176,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
73,57,11,1,7,1,0,0,1,5,1,211,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
74,37,0,1,6,1,2,0,1,5,1,214,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
75,41,1,0,0,1,2,0,1,5,1,1575,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
76,55,9,1,6,0,0,0,1,5,1,349,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
77,33,7,1,3,1,2,0,1,5,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
78,55,4,1,7,1,2,0,1,5,1,272,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
79,42,1,1,2,1,0,0,1,5,1,208,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
80,50,1,1,0,1,2,0,1,5,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
81,51,1,1,0,1,1,1,1,5,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
82,38,0,1,3,1,0,0,1,5,1,165,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
83,49,2,1,6,1,2,0,1,5,1,1042,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
84,38,9,2,6,0,0,2,1,5,1,20,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
85,31,0,0,3,0,0,0,1,5,1,246,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
86,41,4,1,1,0,0,0,1,5,1,529,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
87,39,0,1,6,0,2,2,1,5,1,192,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
88,49,9,1,2,0,0,0,1,5,1,1467,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
89,34,0,1,3,0,2,0,1,5,1,188,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
90,35,0,1,6,0,2,0,1,5,1,180,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
91,57,11,1,7,1,2,0,1,5,1,48,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
92,60,0,1,7,1,0,2,1,5,1,213,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
93,33,10,1,2,0,0,0,1,5,1,545,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
94,42,1,1,1,0,0,2,1,5,1,583,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
95,45,7,1,5,0,2,0,1,5,1,221,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
96,42,4,1,6,0,0,0,1,5,1,426,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
97,53,0,0,6,1,0,0,1,5,1,287,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
98,37,9,2,5,0,0,0,1,5,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
99,44,1,1,1,0,0,0,1,5,1,257,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
100,54,7,1,7,0,2,0,1,5,1,229,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
101,49,1,1,0,0,0,0,1,5,1,55,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
102,54,7,1,7,0,0,0,1,5,1,400,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
103,52,0,0,6,0,0,0,1,5,1,197,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
104,52,0,0,6,0,0,0,1,5,1,190,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
105,43,7,2,3,1,0,0,1,5,1,21,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
106,34,3,1,1,0,2,0,1,5,1,300,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
107,35,0,1,3,0,2,0,1,5,1,123,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
108,42,2,1,7,1,2,0,1,5,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
109,43,9,1,7,1,2,2,1,5,1,325,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
110,60,5,0,6,1,0,0,1,5,1,514,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
111,58,10,1,0,1,0,0,1,5,1,849,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
112,35,7,0,3,0,2,0,1,5,1,194,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
113,55,1,1,2,1,2,0,1,5,1,212,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
114,37,4,1,6,0,0,0,1,5,1,337,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
115,36,1,1,3,0,0,0,1,5,1,286,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
116,52,0,0,6,0,0,0,1,5,1,247,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
117,57,1,0,7,1,2,0,1,5,1,518,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
118,56,0,1,7,0,2,0,1,5,1,364,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
119,48,1,0,0,1,2,0,1,5,1,178,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
120,40,1,1,3,1,2,0,1,5,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
121,49,1,0,3,0,0,0,1,5,1,439,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
122,41,7,1,3,0,0,0,1,5,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
123,45,9,1,3,0,2,0,1,5,1,79,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
124,32,0,1,6,0,2,2,1,5,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
125,42,0,1,6,0,0,2,1,5,1,262,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
126,50,0,1,1,0,0,0,1,5,1,61,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
127,31,9,0,5,0,2,2,1,5,1,78,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
128,56,5,1,0,0,2,0,1,5,1,102,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
129,41,9,1,5,1,2,0,1,5,1,579,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
130,37,1,1,1,0,2,2,1,5,1,143,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
131,41,9,1,5,1,0,0,1,5,1,677,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
132,35,1,1,7,0,2,0,1,5,1,267,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
133,37,1,1,1,0,2,0,1,5,1,345,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
134,52,4,1,6,0,0,0,1,5,1,185,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
135,39,4,0,6,0,0,0,1,5,1,207,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
136,39,3,1,0,1,0,0,1,5,1,69,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
137,56,1,1,0,1,0,0,1,5,1,100,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
138,34,7,1,3,0,2,0,1,5,1,125,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
139,45,1,1,2,1,2,0,1,5,1,461,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
140,43,10,2,6,0,2,0,1,5,1,240,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
141,56,4,1,7,0,2,0,1,5,1,70,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
142,39,4,1,6,0,2,0,1,5,1,193,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
143,53,1,1,0,0,2,0,1,5,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
144,38,11,0,3,1,2,0,1,5,1,73,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
145,42,1,1,0,1,2,0,1,5,1,528,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
146,42,1,1,0,1,0,0,1,5,1,541,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
147,35,0,2,3,0,2,0,1,5,1,338,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
148,40,0,1,6,1,2,0,1,5,1,163,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
149,51,1,1,0,0,2,0,1,5,1,87,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
150,60,1,1,2,1,0,0,1,5,1,301,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
151,56,2,1,7,1,2,0,1,5,1,46,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
152,39,7,0,3,1,2,0,1,5,1,52,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
153,56,2,1,7,1,0,0,1,5,1,204,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
154,40,1,1,7,0,2,2,1,5,1,155,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
155,36,1,1,2,0,2,2,1,5,1,98,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
156,51,1,1,7,1,2,0,1,5,1,71,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
157,51,1,1,7,1,0,0,1,5,1,243,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
158,43,9,2,5,0,2,0,1,5,1,186,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
159,59,7,1,3,0,0,0,1,5,1,579,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
160,24,4,2,6,0,2,0,1,5,1,165,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
161,37,1,2,2,1,2,2,1,5,1,163,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
162,40,1,1,2,1,0,0,1,5,1,46,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
163,42,1,1,2,1,0,0,1,5,1,559,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
164,39,7,0,3,1,0,0,1,5,1,2033,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
165,37,2,1,1,0,0,0,1,5,1,85,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
166,38,7,1,3,0,2,2,1,5,1,506,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
167,56,0,0,7,1,0,0,1,5,1,114,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
168,40,1,1,7,0,0,0,1,5,1,114,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
169,54,4,0,6,0,2,0,1,5,1,843,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
170,43,1,1,3,1,0,2,1,5,1,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
171,36,7,1,3,1,0,0,1,5,1,427,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
172,45,9,1,6,0,2,2,1,5,1,292,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
173,42,0,2,6,1,0,0,1,5,1,192,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
174,43,7,1,3,0,0,0,1,5,1,93,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
175,46,4,1,2,0,0,0,1,5,1,128,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
176,44,7,1,3,0,2,2,1,5,1,107,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
177,51,0,2,1,0,0,0,1,5,1,303,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
178,28,7,1,3,0,2,0,1,5,1,81,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
179,37,1,1,2,0,0,0,1,5,1,270,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
180,34,9,1,3,0,0,0,1,5,1,228,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
181,46,1,1,1,1,2,0,1,5,1,240,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
182,42,1,1,2,0,2,2,1,5,1,673,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,yes
183,36,0,1,6,0,2,0,1,5,1,233,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
184,54,1,1,0,1,0,0,1,5,1,102,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
185,57,4,1,6,0,0,0,1,5,1,461,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
186,51,9,1,1,1,0,0,1,5,1,250,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
187,54,5,1,3,1,0,0,1,5,1,130,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
188,49,1,1,0,1,0,0,1,5,1,252,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
189,34,0,1,6,0,2,0,1,5,1,138,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
190,41,9,1,5,0,0,0,1,5,1,412,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
191,38,1,2,2,0,2,0,1,5,1,179,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
192,45,4,0,6,0,0,0,1,5,1,19,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
193,42,9,1,6,0,0,0,1,5,1,228,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
194,34,1,2,2,1,2,0,1,5,1,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
195,48,1,1,0,0,2,0,1,5,1,717,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
196,37,0,1,3,1,2,0,1,5,1,313,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
197,34,1,2,2,1,0,0,1,5,1,289,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
198,40,0,1,2,1,2,0,1,5,1,683,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
199,43,1,1,1,0,2,0,1,5,1,1077,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
200,33,7,1,3,0,0,0,1,5,1,146,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
201,32,7,2,1,0,0,0,1,5,1,167,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
202,39,1,1,3,0,2,0,1,5,1,356,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
203,43,0,1,7,0,0,0,1,5,1,277,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
204,44,1,1,2,0,2,0,1,5,1,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
205,35,8,2,6,1,0,0,1,5,1,218,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
206,35,8,2,6,1,2,2,1,5,1,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
207,35,10,1,5,0,0,0,1,5,1,67,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
208,36,7,2,0,0,0,0,1,5,1,291,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
209,35,8,2,6,1,2,0,1,5,1,248,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
210,36,8,2,2,0,2,0,1,5,1,256,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
211,55,3,0,6,0,0,0,1,5,1,286,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
212,59,0,1,6,0,0,0,1,5,1,477,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
213,57,5,1,7,1,0,0,1,5,1,611,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
214,39,1,1,5,1,2,0,1,5,1,471,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
215,39,3,1,0,1,2,0,1,5,1,381,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
216,30,1,2,7,0,2,0,1,5,1,251,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
217,30,1,2,7,0,2,2,1,5,1,408,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
218,50,3,1,0,1,0,0,1,5,1,287,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
219,40,7,1,3,0,0,0,1,5,1,322,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
220,35,0,1,3,0,2,0,1,5,1,216,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
221,43,9,1,7,1,0,0,1,5,1,366,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
222,36,7,2,1,1,2,0,1,5,1,210,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
223,46,9,1,0,1,2,0,1,5,1,288,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
224,40,9,1,2,0,0,0,1,5,1,168,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
225,58,5,1,6,0,0,0,1,5,1,132,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
226,42,9,1,6,0,0,0,1,5,1,64,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
227,35,0,2,6,0,0,0,1,5,1,209,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
228,43,5,1,0,1,0,0,1,5,1,410,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
229,45,1,1,0,0,2,2,1,5,1,177,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
230,39,0,1,5,0,2,0,1,5,1,580,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
231,50,7,0,5,0,2,0,1,5,1,165,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
232,32,4,0,0,1,2,0,1,5,1,127,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
233,39,0,1,3,1,0,0,1,5,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
234,52,6,1,6,1,0,0,1,5,1,175,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
235,44,0,1,5,0,2,0,1,5,1,300,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
236,56,1,1,0,0,0,0,1,5,1,136,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
237,48,0,1,3,0,0,0,1,5,1,125,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
238,33,7,1,3,1,0,2,1,5,1,189,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
239,43,4,1,6,1,0,2,1,5,1,213,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
240,57,5,1,3,0,0,0,1,5,1,238,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
241,36,9,2,5,0,0,0,1,5,1,124,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
242,34,4,1,6,0,2,0,1,5,1,18,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
243,34,7,2,2,0,0,0,1,5,1,730,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
244,30,9,1,6,1,0,0,1,5,1,40,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
245,33,7,0,7,0,0,0,1,5,1,181,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,no
